manufacturer_id,manufacturer_name
207,ICP Solar Technologies
208,INGETEAM POWER TECHNOLOGY S.A.
209,ISAC
210,Integrated Metering Systems
211,Intertie Incorporated
212,Iron Edison Battery Company LLC
213,Itron
214,JA Solar
215,Jackery Inc.
216,Japan Solar (Infini Co. Ltd.)
217,Jetion Solar (China)
218,Jetion Solar (China) Co.Ltd.
219,"Jiangsu Acrel Electrical Manufacturing. Co., Ltd."
220,"Jiangsu RCT Power Energy Technology Co., Ltd"
221,"Jiangsu Weiheng Intelligent Technology Co., Ltd."
222,Jiangyin Hareon Power
223,JingTsing Technology Ltd.
224,Jinko Solar Co. Ltd
225,"Jinko Solar Co., Ltd"
226,Jinzhou Jinmao Photovoltaic Technology
227,Juli New Energy
228,KACO
229,KACO new energy GmbH
230,"KORE Power, Inc."
231,KOSOL ENERGIE PVT. LTD.
232,Kele
233,Kohler Co.
234,"Kowint Energy (Shenzhen) Co., Ltd."
235,Kowint Energy Inc.
236,LDK Solar
237,LG Electronics
238,LG Electronics Inc.
239,"LG Energy Solution, Ltd."
240,LIGHT&HOPE ENERGY CO.LTD.
241,LONGi Green Energy Technology Co. Ltd.
242,LS Energy Solutions LLC
243,LUMA Resources
244,La Solar LLC
245,Landis+Gyr
246,"LeadSolar Energy Co., Ltd"
247,Leviton Manufacturing
248,Lightway Green New Energy
249,Liniotech
250,Liniotech Energy Inc.
251,Lion Energy
252,Lite-On Technology Corporation
253,Lithion Battery Inc.
254,Locus Energy
255,Lovato Electric
256,Lumos
257,"Lunar Energy, Inc."
258,Lunna
259,Luxco
260,Luxor Solar
261,MANGO POWER TECH INC.
262,MK BATTERY
263,MPP SOLAR INC
264,MSquare Energy Pty Ltd
265,Mage Solar
266,Mage Solar USA
267,Maxeon Solar Technologies Ltd.
268,Measurlogic
269,MelRok
270,Merlin Solar Technologies Inc.
271,Meter Home
272,Metrum Technologies
273,Miasole
274,Microtrend Technologies
275,MidNite Power Inc.
276,"MidNite Solar, Inc."
277,Mission Solar Energy LLC
278,Mitsubishi Electric
279,Mundra Solar PV Ltd.
280,NEXTRACKER LLC
281,"NINGBO DEYE ESS TECHNOLOGY CO., LTD"
282,NeoVolta Inc.
283,New East Solar Energy (Cambodia) Co.Ltd.
284,Next Energy Alliance LLC
285,Northern Electric & Power Co.
286,Northern Electric & Power Co. Ltd
287,"Northern Electric Power Technology, Inc"
288,"Novele, Inc."
289,"ONE SUN, MEXICO S.A. DE C.V."
